YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER,interpolation
109,3,1,10,10,3001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,10,11,3001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,10,12,3001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,10,13,3001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,10,17,3001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,10,18,3001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,10,19,3001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,10,20,3001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,10,21,3001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,11,9,3001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,11,10,3001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,11,11,3001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,11,12,3001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,11,13,3001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,11,17,3001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,11,18,3001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,11,19,3001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,11,20,3001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,11,21,3001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,12,9,3001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,12,10,3001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,12,11,3001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,12,12,3001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,12,13,3001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,12,17,3001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,12,18,3001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,12,19,3001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,12,20,3001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,12,21,3001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,13,9,3001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,13,10,3001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,13,11,3001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,13,12,3001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,13,13,3001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,13,17,3001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,13,18,3001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,13,19,3001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,13,20,3001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,13,21,3001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,14,9,3001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,14,10,3001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,14,11,3001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,14,12,3001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,14,13,3001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,14,17,3001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,14,18,3001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,14,19,3001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,14,20,3001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,14,21,3001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,15,9,3001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,15,10,3001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,15,11,3001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,15,12,3001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,15,13,3001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,15,17,3001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,15,18,3001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,15,19,3001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,15,20,3001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,15,21,3001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,16,9,3001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,16,10,3001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,16,11,3001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,16,12,3001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,16,13,3001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
