YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER,interpolation
109,5,2,1,13,5002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,1,17,5002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,1,18,5002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,1,19,5002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,1,20,5002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,1,21,5002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,2,9,5002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,2,10,5002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,2,11,5002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,2,12,5002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,2,13,5002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,2,17,5002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,2,18,5002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,2,19,5002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,2,20,5002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,2,21,5002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,3,9,5002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,3,10,5002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,2,3,11,5002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
